LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Express;Next.js;Node.js;React,Docker;Homebrew;Kubernetes;npm;Vite;Webpack,,Full-Stack Developer,3
C#,ASP.NET CORE,MSBuild,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Developer Experience,0
C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,jQuery;Next.js;Node.js;React;WordPress,Docker;npm;Pip,NumPy;Pandas;Ruff;TensorFlow,Full-Stack Developer,3
C++;HTML/CSS;JavaScript;Lua;Python;Rust,,APT;Make;npm,,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Express;Next.js;Node.js;React,npm;Webpack,,Full-Stack Developer,3
JavaScript;Python;Ruby,Node.js;React;Ruby on Rails,Ansible;Docker;Kubernetes,,Project Manager,6
C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,Docker;npm;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin,Developer Advocate,0
Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA,,Ansible;Chocolatey;Docker;Make;NuGet;Pacman;Pip;Terraform,,Back-End Developer,3
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Blazor;jQuery,NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,Full-Stack Developer,0
HTML/CSS;JavaScript;TypeScript,jQuery;Next.js;React,Docker;npm;Vite;Yarn,React Native,Front-End Developer,2
C#;HTML/CSS;JavaScript;PHP;Python;SQL,ASP.NET;ASP.NET CORE;Blazor;jQuery,Ansible;Chocolatey;MSBuild,.NET (5+) ,Full-Stack Developer,3
PowerShell;SQL,,,,Database Administrator,3
